row_id,image,image_path,crop_path,true_label,x1,y1,x2,y2,yolo_label,yolo_class_id,yolo_conf,det_score,used_fallback_full_image,num_detections
0,8c79f5e57737e712428b009f3b811b29.jpg,E:\study\DoAnPython\project\data\raw\train_images\8c79f5e57737e712428b009f3b811b29.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000000_8c79f5e57737e712428b009f3b811b29.jpg,3829989058,45,184,482,607,toilet,61,0.6231728792190552,0.3884654127448541,False,2
1,5dc0a645807ec85ba540e39ee7a1db04.jpg,E:\study\DoAnPython\project\data\raw\train_images\5dc0a645807ec85ba540e39ee7a1db04.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000001_5dc0a645807ec85ba540e39ee7a1db04.jpg,2723899357,136,353,368,485,bowl,45,0.44327664375305176,0.13434416465631535,False,3
2,e4647b784f847e807173e9329c748636.jpg,E:\study\DoAnPython\project\data\raw\train_images\e4647b784f847e807173e9329c748636.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000002_e4647b784f847e807173e9329c748636.jpg,2217561812,22,39,261,440,person,0,0.7846261858940125,0.4525844634056865,False,2
3,9bf9a36b8a4f81ee1f4a0b463799e5b3.jpg,E:\study\DoAnPython\project\data\raw\train_images\9bf9a36b8a4f81ee1f4a0b463799e5b3.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000003_9bf9a36b8a4f81ee1f4a0b463799e5b3.jpg,424835120,363,84,640,347,scissors,76,0.5731710195541382,0.22862731191961438,False,11
4,5c138e8fccfc7bc6d6e364bd31eb6657.jpg,E:\study\DoAnPython\project\data\raw\train_images\5c138e8fccfc7bc6d6e364bd31eb6657.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000004_5c138e8fccfc7bc6d6e364bd31eb6657.jpg,66247839,4,31,374,514,teddy bear,77,0.4752323627471924,0.2668150726585417,False,4
5,6419da5ac6f057124626b8260b54a0f0.jpg,E:\study\DoAnPython\project\data\raw\train_images\6419da5ac6f057124626b8260b54a0f0.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000005_6419da5ac6f057124626b8260b54a0f0.jpg,309172360,0,0,376,376,full_image,-1,0.0,0.0,True,0
6,4f7fac9f8aa6d9fa3616f8dfb1e4834a.jpg,E:\study\DoAnPython\project\data\raw\train_images\4f7fac9f8aa6d9fa3616f8dfb1e4834a.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000006_4f7fac9f8aa6d9fa3616f8dfb1e4834a.jpg,1385441259,303,183,385,278,orange,49,0.5683921575546265,0.10388129686392707,False,5
7,f949347b7440d3fc716433e61d529709.jpg,E:\study\DoAnPython\project\data\raw\train_images\f949347b7440d3fc716433e61d529709.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000007_f949347b7440d3fc716433e61d529709.jpg,4152958882,141,213,384,380,scissors,76,0.894622802734375,0.40257701465473184,False,3
8,795c6f8f85e6d8e5894c74f926be37f0.jpg,E:\study\DoAnPython\project\data\raw\train_images\795c6f8f85e6d8e5894c74f926be37f0.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000008_795c6f8f85e6d8e5894c74f926be37f0.jpg,3637220226,69,119,407,693,parking meter,12,0.6606383919715881,0.3375160747426382,False,1
9,6692b90ed7f593e982e6f9dd3d1f5700.jpg,E:\study\DoAnPython\project\data\raw\train_images\6692b90ed7f593e982e6f9dd3d1f5700.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000009_6692b90ed7f593e982e6f9dd3d1f5700.jpg,3497969901,331,501,517,837,cell phone,67,0.32215163111686707,0.07330140501419276,False,2
10,c6f0348df531aac39e4a5656d94c44ee.jpg,E:\study\DoAnPython\project\data\raw\train_images\c6f0348df531aac39e4a5656d94c44ee.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000010_c6f0348df531aac39e4a5656d94c44ee.jpg,2377831355,528,341,657,686,bottle,39,0.9437131881713867,0.2152640382325039,False,8
11,239bc5e698b149134b681cf0a980f766.jpg,E:\study\DoAnPython\project\data\raw\train_images\239bc5e698b149134b681cf0a980f766.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000011_239bc5e698b149134b681cf0a980f766.jpg,4141124289,0,61,218,387,orange,49,0.7420480251312256,0.4396511432798793,False,2
12,eea843a9317b1ba17e1e3d10afa13b27.jpg,E:\study\DoAnPython\project\data\raw\train_images\eea843a9317b1ba17e1e3d10afa13b27.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000012_eea843a9317b1ba17e1e3d10afa13b27.jpg,3728367895,56,391,528,942,clock,74,0.2806452512741089,0.12965976994876202,False,4
13,685c22d9f3a1e057db69914f6980809b.jpg,E:\study\DoAnPython\project\data\raw\train_images\685c22d9f3a1e057db69914f6980809b.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000013_685c22d9f3a1e057db69914f6980809b.jpg,1706249589,0,0,640,640,person,0,0.6040725708007812,0.5974625448593934,False,6
14,c99e19b4b6aa7b4811fcaeed97a12d52.jpg,E:\study\DoAnPython\project\data\raw\train_images\c99e19b4b6aa7b4811fcaeed97a12d52.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000014_c99e19b4b6aa7b4811fcaeed97a12d52.jpg,3947628716,278,210,555,523,clock,74,0.8437173962593079,0.28841648049024216,False,4
15,99ca05d17259eb31ffc2454d4b6f9de1.jpg,E:\study\DoAnPython\project\data\raw\train_images\99ca05d17259eb31ffc2454d4b6f9de1.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000015_99ca05d17259eb31ffc2454d4b6f9de1.jpg,1662373776,278,0,640,532,person,0,0.9196252226829529,0.6008450347946407,False,5
16,d8edd638681a303e178c999ccd113657.jpg,E:\study\DoAnPython\project\data\raw\train_images\d8edd638681a303e178c999ccd113657.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000016_d8edd638681a303e178c999ccd113657.jpg,1597685049,14,74,690,617,book,73,0.8253961205482483,0.6616610083318013,False,4
17,242c1924a998df253c411c7bc1724143.jpg,E:\study\DoAnPython\project\data\raw\train_images\242c1924a998df253c411c7bc1724143.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000017_242c1924a998df253c411c7bc1724143.jpg,2864073974,0,397,800,800,bicycle,1,0.5224488973617554,0.36223705701584763,False,2
18,9720558f60f0f26b037dc054e824b8fc.jpg,E:\study\DoAnPython\project\data\raw\train_images\9720558f60f0f26b037dc054e824b8fc.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000018_9720558f60f0f26b037dc054e824b8fc.jpg,1445188681,0,0,800,800,full_image,-1,0.0,0.0,True,0
19,12b580e7349cb90eddc30a0aeed61341.jpg,E:\study\DoAnPython\project\data\raw\train_images\12b580e7349cb90eddc30a0aeed61341.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000019_12b580e7349cb90eddc30a0aeed61341.jpg,2087175377,141,125,396,523,vase,75,0.3645210564136505,0.15420541173362426,False,4
20,fa5eecc91325e81a2c174b523fd181be.jpg,E:\study\DoAnPython\project\data\raw\train_images\fa5eecc91325e81a2c174b523fd181be.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000020_fa5eecc91325e81a2c174b523fd181be.jpg,436095484,399,50,598,800,bottle,39,0.6407243609428406,0.288626145704357,False,4
21,dbecc71dea33304c4092cb3b05ccae4f.jpg,E:\study\DoAnPython\project\data\raw\train_images\dbecc71dea33304c4092cb3b05ccae4f.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000021_dbecc71dea33304c4092cb3b05ccae4f.jpg,889644727,465,70,937,524,vase,75,0.5641193389892578,0.23684504995892294,False,6
22,1ce123ca36807cd167c3d537bcad74e5.jpg,E:\study\DoAnPython\project\data\raw\train_images\1ce123ca36807cd167c3d537bcad74e5.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000022_1ce123ca36807cd167c3d537bcad74e5.jpg,4200573692,0,106,531,524,knife,43,0.3233684003353119,0.20488934812271578,False,1
23,fb2d94637e92997c0708adf9bf99377f.jpg,E:\study\DoAnPython\project\data\raw\train_images\fb2d94637e92997c0708adf9bf99377f.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000023_fb2d94637e92997c0708adf9bf99377f.jpg,1060961612,27,13,61,46,sports ball,32,0.7562475800514221,0.0238187976001091,False,2
24,d551f25391eb5bc84cefa2bf2d5a2a90.jpg,E:\study\DoAnPython\project\data\raw\train_images\d551f25391eb5bc84cefa2bf2d5a2a90.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000024_d551f25391eb5bc84cefa2bf2d5a2a90.jpg,1226243819,88,83,269,510,bottle,39,0.8914472460746765,0.36078982358970263,False,4
25,bcdd8c9453e041a5cefbb156b7034631.jpg,E:\study\DoAnPython\project\data\raw\train_images\bcdd8c9453e041a5cefbb156b7034631.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000025_bcdd8c9453e041a5cefbb156b7034631.jpg,3813608589,238,132,558,800,vase,75,0.6381121277809143,0.34888528929496404,False,2
