method,query_idx,label_group,AP@5,n_relevant,Precision@1,Recall@1,Precision@3,Recall@3,Precision@5,Recall@5,Precision@10,Recall@10
StrongFusion_global_crop_text_light_crop_phash_strong,0,3829989058,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,1,2723899357,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,2,2217561812,0.5,2,1.0,0.5,0.3333333333333333,0.5,0.2,0.5,0.2,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,3,424835120,1.0,3,1.0,0.3333333333333333,1.0,1.0,0.6,1.0,0.3,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,4,66247839,1.0,33,1.0,0.030303030303030304,1.0,0.09090909090909091,1.0,0.15151515151515152,1.0,0.30303030303030304
StrongFusion_global_crop_text_light_crop_phash_strong,5,309172360,1.0,2,1.0,0.5,0.6666666666666666,1.0,0.4,1.0,0.2,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,6,1385441259,1.0,6,1.0,0.16666666666666666,1.0,0.5,1.0,0.8333333333333334,0.6,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,7,4152958882,1.0,10,1.0,0.1,1.0,0.3,1.0,0.5,0.8,0.8
StrongFusion_global_crop_text_light_crop_phash_strong,8,3637220226,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StrongFusion_global_crop_text_light_crop_phash_strong,9,3497969901,0.5,2,1.0,0.5,0.3333333333333333,0.5,0.2,0.5,0.1,0.5
StrongFusion_global_crop_text_light_crop_phash_strong,10,2377831355,1.0,12,1.0,0.08333333333333333,1.0,0.25,1.0,0.4166666666666667,0.9,0.75
StrongFusion_global_crop_text_light_crop_phash_strong,11,4141124289,0.6433333333333333,21,1.0,0.047619047619047616,0.6666666666666666,0.09523809523809523,0.8,0.19047619047619047,0.8,0.38095238095238093
StrongFusion_global_crop_text_light_crop_phash_strong,12,3728367895,0.5,1,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,13,1706249589,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,14,3947628716,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StrongFusion_global_crop_text_light_crop_phash_strong,15,1662373776,1.0,3,1.0,0.3333333333333333,1.0,1.0,0.6,1.0,0.3,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,16,1597685049,1.0,2,1.0,0.5,0.6666666666666666,1.0,0.4,1.0,0.2,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,17,2864073974,0.3333333333333333,1,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,18,1445188681,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,19,2087175377,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,20,436095484,1.0,6,1.0,0.16666666666666666,1.0,0.5,1.0,0.8333333333333334,0.5,0.8333333333333334
StrongFusion_global_crop_text_light_crop_phash_strong,21,889644727,0.8,5,1.0,0.2,1.0,0.6,0.8,0.8,0.5,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,22,4200573692,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,23,1060961612,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StrongFusion_global_crop_text_light_crop_phash_strong,24,1226243819,0.3,5,1.0,0.2,0.3333333333333333,0.2,0.4,0.4,0.3,0.6
StrongFusion_global_crop_text_light_crop_phash_strong,25,3813608589,1.0,9,1.0,0.1111111111111111,1.0,0.3333333333333333,1.0,0.5555555555555556,0.7,0.7777777777777778
StrongFusion_global_crop_text_light_crop_phash_strong,26,3351860123,0.75,2,1.0,0.5,0.3333333333333333,0.5,0.4,1.0,0.2,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,27,3900306665,1.0,10,1.0,0.1,1.0,0.3,1.0,0.5,0.9,0.9
StrongFusion_global_crop_text_light_crop_phash_strong,28,763032672,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,29,821474700,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30,2729238489,1.0,4,1.0,0.25,1.0,0.75,0.8,1.0,0.4,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,31,3476168339,1.0,2,1.0,0.5,0.6666666666666666,1.0,0.4,1.0,0.2,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,32,2660884517,1.0,2,1.0,0.5,0.6666666666666666,1.0,0.4,1.0,0.2,1.0
