method,K,Precision@K,Recall@K,mAP@5,mAP,name,w_global,w_crop,w_text,phash_config,candidate_k
StrongFusion_global_text_phash_old_strong_phash_strong,1,0.793956204379562,0.41418103456894606,0.7663841362530414,0.7663841362530414,global_text_phash_old_strong,0.76,0.0,0.24,strong,100
StrongFusion_global_text_phash_old_strong_phash_strong,3,0.5521751824817518,0.6375352494278936,0.7663841362530414,0.7663841362530414,global_text_phash_old_strong,0.76,0.0,0.24,strong,100
StrongFusion_global_text_phash_old_strong_phash_strong,5,0.43639708029197083,0.7273672176830751,0.7663841362530414,0.7663841362530414,global_text_phash_old_strong,0.76,0.0,0.24,strong,100
StrongFusion_global_text_phash_old_strong_phash_strong,10,0.29344525547445255,0.8209971507225856,0.7663841362530414,0.7663841362530414,global_text_phash_old_strong,0.76,0.0,0.24,strong,100
StrongFusion_global_crop_text_balanced_phash_strong,1,0.7775766423357664,0.40145726955943656,0.7471746147607462,0.7471746147607462,global_crop_text_balanced,0.4,0.35,0.25,strong,100
StrongFusion_global_crop_text_balanced_phash_strong,3,0.5419075425790755,0.6221373692057269,0.7471746147607462,0.7471746147607462,global_crop_text_balanced,0.4,0.35,0.25,strong,100
StrongFusion_global_crop_text_balanced_phash_strong,5,0.42961751824817523,0.7140753951910146,0.7471746147607462,0.7471746147607462,global_crop_text_balanced,0.4,0.35,0.25,strong,100
StrongFusion_global_crop_text_balanced_phash_strong,10,0.2898335766423357,0.8099728687159842,0.7471746147607462,0.7471746147607462,global_crop_text_balanced,0.4,0.35,0.25,strong,100
StrongFusion_global_crop_text_crop_heavy_phash_strong,1,0.7644963503649636,0.3916124215183551,0.7282448256285483,0.7282448256285483,global_crop_text_crop_heavy,0.3,0.45,0.25,strong,100
StrongFusion_global_crop_text_crop_heavy_phash_strong,3,0.5318345498783454,0.6068983699075037,0.7282448256285483,0.7282448256285483,global_crop_text_crop_heavy,0.3,0.45,0.25,strong,100
StrongFusion_global_crop_text_crop_heavy_phash_strong,5,0.4207299270072993,0.6957119350448564,0.7282448256285483,0.7282448256285483,global_crop_text_crop_heavy,0.3,0.45,0.25,strong,100
StrongFusion_global_crop_text_crop_heavy_phash_strong,10,0.2842394160583942,0.7930543874654431,0.7282448256285483,0.7282448256285483,global_crop_text_crop_heavy,0.3,0.45,0.25,strong,100
StrongFusion_global_crop_text_global_heavy_phash_strong,1,0.7868905109489052,0.4085374964171078,0.7598922789943227,0.7598922789943227,global_crop_text_global_heavy,0.5,0.25,0.25,strong,100
StrongFusion_global_crop_text_global_heavy_phash_strong,3,0.5490024330900244,0.6328978153571224,0.7598922789943227,0.7598922789943227,global_crop_text_global_heavy,0.5,0.25,0.25,strong,100
StrongFusion_global_crop_text_global_heavy_phash_strong,5,0.43487299270073,0.7246934795230995,0.7598922789943227,0.7598922789943227,global_crop_text_global_heavy,0.5,0.25,0.25,strong,100
StrongFusion_global_crop_text_global_heavy_phash_strong,10,0.2931620437956205,0.8203459285181114,0.7598922789943227,0.7598922789943227,global_crop_text_global_heavy,0.5,0.25,0.25,strong,100
StrongFusion_global_crop_text_text_heavy_phash_strong,1,0.7938102189781022,0.4133710708821537,0.768992108678021,0.768992108678021,global_crop_text_text_heavy,0.35,0.25,0.4,strong,100
StrongFusion_global_crop_text_text_heavy_phash_strong,3,0.5551630170316302,0.6446661397556661,0.768992108678021,0.768992108678021,global_crop_text_text_heavy,0.35,0.25,0.4,strong,100
StrongFusion_global_crop_text_text_heavy_phash_strong,5,0.4396963503649636,0.738967753064054,0.768992108678021,0.768992108678021,global_crop_text_text_heavy,0.35,0.25,0.4,strong,100
StrongFusion_global_crop_text_text_heavy_phash_strong,10,0.2976321167883212,0.8398407088496577,0.768992108678021,0.768992108678021,global_crop_text_text_heavy,0.35,0.25,0.4,strong,100
StrongFusion_global_crop_text_light_crop_phash_strong,1,0.7981021897810219,0.4165915903240997,0.7738221086780211,0.7738221086780211,global_crop_text_light_crop,0.55,0.15,0.3,strong,100
StrongFusion_global_crop_text_light_crop_phash_strong,3,0.5573625304136253,0.6464767212716582,0.7738221086780211,0.7738221086780211,global_crop_text_light_crop,0.55,0.15,0.3,strong,100
StrongFusion_global_crop_text_light_crop_phash_strong,5,0.440992700729927,0.7381163501077022,0.7738221086780211,0.7738221086780211,global_crop_text_light_crop,0.55,0.15,0.3,strong,100
StrongFusion_global_crop_text_light_crop_phash_strong,10,0.29751240875912405,0.8347702061078615,0.7738221086780211,0.7738221086780211,global_crop_text_light_crop,0.55,0.15,0.3,strong,100
