image,label_group,Precision@1,Recall@1,Precision@3,Recall@3,Precision@5,Recall@5,Precision@10,Recall@10,AP
9455b9dc4f5de10c120e9121e12602ad.jpg,3425407260,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.1429
09612c2d86cc1bc4c95704cef4652215.jpg,2326564207,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
e4c6af1c2f9802bc880fe7cc752afdc5.jpg,2104261312,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
37bde2304f12d90eb8ae922e418706ed.jpg,3469866782,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
04cf7dd4a4f90759034b1953b58472e9.jpg,1902731777,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
e4c6af1c2f9802bc880fe7cc752afdc5.jpg,2104261312,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
90b5e31d5b7d386210dda6792cb610eb.jpg,3001775952,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
ff39a4425d8fbf223b34734fea106c98.jpg,1504793711,0.0,0.0,0.0,0.0,0.2,1.0,0.1,1.0,0.2
0f8be6b6134ea9c3605bdce01eacd24d.jpg,1796693466,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
b502bbfe8e318731739dbfb243525e6e.jpg,4186017872,0.0,0.0,0.3333,1.0,0.2,1.0,0.1,1.0,0.5
20f07037aa19940a164122dd518bcb29.jpg,1118262008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371b4baaa867078703390a97d387a109.jpg,3773419446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273b19cae98e19099681d98fdc7a6b04.jpg,958369680,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
0a0457919befb204b2d9dd7cac3c875a.jpg,2974535963,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
212424ec0f7886ceea1e262e6a254e8e.jpg,2299314811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32332d7b8a1dd3fe814a2805275aa072.jpg,3356382357,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
4e32ab8c77a043453100e8adfd50f219.jpg,363024489,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
4c4cf73bd77760f1a17c1cbae7b936ad.jpg,3044955701,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
24b2b89d7f17e64f4d2fc259017fccc3.jpg,1708167817,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
81a3523e2653eb89b7d094fd052b2e4f.jpg,1058067867,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
0019a3c6755a194cb2e2c12bfc63972e.jpg,2359912463,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
caf2806177eea6cb865f246c6da85f3f.jpg,2314232878,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
4a650a7ca523d5db8dde9889773631b5.jpg,1708167817,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
ec38ddbfd673d09e7c418d64e547c7e5.jpg,2804259900,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
0660b68442af99d3ab8c422a2a655f6e.jpg,1888738666,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
5dab678ebbeae916fd3339e79ce68473.jpg,652176199,0.0,0.0,0.3333,1.0,0.2,1.0,0.1,1.0,0.5
31587b252f1da9f3b86ed6709d3a2779.jpg,1195866879,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
6356826dad2272c102248daa59b16473.jpg,2834073373,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
