posting_id,label_group,Precision@1,Recall@1,Precision@3,Recall@3,Precision@5,Recall@5,Precision@10,Recall@10,AP
train_129225211,249114794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3386243561,2937985045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2288590299,2395904891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2406599165,4093212188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3369186413,3648931069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2464356923,2660605217,1.0,1.0,0.3333,0.5,0.2,0.5,0.1,0.5,0.5
train_1802986387,1835033137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1806152124,1565741687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_86570404,2359912463,1.0,1.0,0.6667,1.0,0.4,1.0,0.2,1.0,1.0
train_831680791,2630990665,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
train_1598329973,2462407944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2496690777,509010932,1.0,1.0,0.3333,0.5,0.2,0.5,0.1,0.5,0.5
train_2771755203,509010932,1.0,1.0,0.3333,0.5,0.2,0.5,0.1,0.5,0.5
train_998568945,4206465630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_4287573913,1932232224,1.0,1.0,0.6667,1.0,0.4,1.0,0.2,1.0,1.0
train_4196427721,349297863,1.0,1.0,0.6667,0.6667,0.4,0.4,0.2,0.2857,0.2857
train_3009013664,1574620312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3054371232,2353399596,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.1667
train_2985955659,3415582503,1.0,1.0,0.6667,1.0,0.4,1.0,0.2,1.0,1.0
train_2961381387,2098400894,1.0,1.0,0.3333,0.3333,0.2,0.25,0.1,0.25,0.25
train_999391364,3624674138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2238403912,531768918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1396146683,4240123481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1180155871,2224428568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1872347548,4044205497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_249329869,404551210,1.0,1.0,0.3333,0.5,0.2,0.5,0.2,1.0,0.6111
train_2905529497,2034299767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3466601092,2933791615,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
train_1572286671,532279668,1.0,1.0,0.6667,1.0,0.4,1.0,0.2,1.0,1.0
train_3117535609,532279668,1.0,1.0,0.6667,1.0,0.4,1.0,0.2,1.0,1.0
train_1617041019,894203507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2410183091,2464977091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1461445798,4266903097,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
train_1449570166,3578753118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1327117441,3912088353,1.0,1.0,0.3333,0.5,0.2,0.5,0.1,0.5,0.5
train_1640409557,1632207687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2720300071,2653016647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3906985249,3328069909,1.0,1.0,0.3333,0.3333,0.2,0.3333,0.1,0.3333,0.3333
train_4146813717,3816307840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_4193869534,983229802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2966264418,1149464099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_961019399,98592019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3697474443,944796571,1.0,1.0,0.6667,1.0,0.4,1.0,0.2,1.0,1.0
train_3350934785,960169860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_476982317,1039178864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1243594898,1990957212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2679824623,1529085103,1.0,1.0,0.3333,0.3333,0.2,0.2,0.1,0.1,0.0556
train_140914082,3635513698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1164271328,1264841825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3743764071,1851836169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3497907844,1141798720,1.0,1.0,0.6667,0.6667,0.4,0.4,0.2,0.2,0.04
train_363659042,2831184769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
