query_index,query_title,query_label,rank,mismatch_image_index,mismatch_image_file,mismatch_image_title,mismatch_image_label
34248,"Kaldu NON MSG HALAL Mama Kamu Ayam Kampung , Sapi Lokal,  Jamur (Bkn Alsultan / Biocell)",1663538013,1,30536,e443cf788928f2fb8c834b6bc0bcb477.jpg,Totole / kaldu jamur 200gr,1673669565
34248,"Kaldu NON MSG HALAL Mama Kamu Ayam Kampung , Sapi Lokal,  Jamur (Bkn Alsultan / Biocell)",1663538013,2,11752,585b6c69e4df9426a55d99127d4dd7ac.jpg,TEH BAJAKAH ASLI KALIMANTAN KUALITAS PREMIUM,1158312772
34248,"Kaldu NON MSG HALAL Mama Kamu Ayam Kampung , Sapi Lokal,  Jamur (Bkn Alsultan / Biocell)",1663538013,3,10016,4b223706bec6ad2d3151c81a3ad73def.jpg,READY SURABAYA!! Susu Almond Lactamond Bubuk /Premium 5x Minum/ ASI Booster Minuman Pelancar,717019588
34248,"Kaldu NON MSG HALAL Mama Kamu Ayam Kampung , Sapi Lokal,  Jamur (Bkn Alsultan / Biocell)",1663538013,4,31750,edf25d976f5d771b9d1c45628a9baaeb.jpg,Sasa LaRasa Bumbu Lumur Ayam Spesial 26gr,682258630
34248,"Kaldu NON MSG HALAL Mama Kamu Ayam Kampung , Sapi Lokal,  Jamur (Bkn Alsultan / Biocell)",1663538013,5,309,027a160a1a84483930e075392c3d9758.jpg,Bumbu tradisional asli GERAK TANI 90 gram,3793731481
34246,MamyPoko Pants Royal Soft - S 70 - Popok Celana,2736479533,1,25145,bc1920aed72dfb4a6e0c0e1e10620600.jpg,MamyPoko Pants Royal Soft Boys/Girl/S46/M42/L34/XL30/XXL24/popokcibarusah,22285547
34246,MamyPoko Pants Royal Soft - S 70 - Popok Celana,2736479533,2,20949,9d52cd440df1d2dcb0917c248c371889.jpg,Mamy Poko Pants Royal Soft XL 30,705336788
34246,MamyPoko Pants Royal Soft - S 70 - Popok Celana,2736479533,3,3638,1bd53a083c3a25f80a6edb4529992e50.jpg,MAMYPOKO ROYAL SOFT GIRL M42/L34/XL30/XXL24/karismasusu,22285547
34246,MamyPoko Pants Royal Soft - S 70 - Popok Celana,2736479533,4,27553,ce538d5b430e0a4035e844bd55a9642d.jpg,Mamy Poko Pants Royal Soft BOY/GIRL M42/L34/XL30/XXL24,22285547
34246,MamyPoko Pants Royal Soft - S 70 - Popok Celana,2736479533,5,2240,111ee202bca2ff22919e91c5cd8d88e6.jpg,MamyPoko Pants Royal Soft Boys L34 / Mamy Poko Celana Extra Soft L 34,22285547
1,"Double Tape 3M VHB 12 mm x 4,5 m ORIGINAL / DOUBLE FOAM TAPE",2937985045,1,19262,911ec2d0f08035714d46a006ce9c8c54.jpg,DOUBLE TAPE BUSA 3M Pe Foam Tape 24mm x 4M ORIGINAL,475342649
1,"Double Tape 3M VHB 12 mm x 4,5 m ORIGINAL / DOUBLE FOAM TAPE",2937985045,2,25199,bc8880b245804eecd8f07d16c22191fa.jpg,3M VHB 12mm x 4.5m Double Tape Foam Merah Otomotif & Building ORI,2819310070
1,"Double Tape 3M VHB 12 mm x 4,5 m ORIGINAL / DOUBLE FOAM TAPE",2937985045,3,23593,b0fe67a25aaad6098bdab7d3afe73484.jpg,Double Tape 3M 4900 VHB 24 mm x 4.5m tebal 1.1 mm 24mm Ori Original 24 mm 1 inchi,2819310070
